Date,Year,Category,Lower,Mid,Upper,CPI_Growth,YoY_Inflation,Forecast_Error,Forecast_Accuracy,Category_Contribution,Season,Seasonal_Contribution
2002-07-01 00:00:00,2002,All food,4.1,-0.2,1.8,,,4.3,2250,0.166527893422148,Summer,0.0827472072817542
2002-08-01 00:00:00,2002,All food,4,-0.2,1.8,0,,4.2,2200,0.164473684210526,Summer,0.0827472072817542
2002-09-01 00:00:00,2002,All food,3.8,0,1.8,-100,,3.8,-inf,0,Fall,0
2002-10-01 00:00:00,2002,All food,3.7,0.2,1.9,inf,,3.5,-1650,-0.1806684733514,Fall,-0.0638162093171666
2002-11-01 00:00:00,2002,All food,3.6,0.3,1.9,50,,3.3,-1000,-0.354191263282172,Fall,-0.0957243139757498
2002-12-01 00:00:00,2002,All food,3.5,0.7,1.9,133.333333333333,,2.8,-300,-0.843373493975904,Winter,-0.843373493975904
2003-01-01 00:00:00,2003,All food,3.2,0.7,1.8,0,,2.5,-257.142857142857,-0.985915492957746,Winter,-0.707785642062689
2003-02-01 00:00:00,2003,All food,3,1.1,2.1,57.1428571428572,,1.9,-72.7272727272727,-2.47191011235955,Winter,-1.11223458038423
2003-03-01 00:00:00,2003,All food,3.1,1.2,2,9.09090909090908,,1.9,-58.3333333333334,-3.39943342776204,Spring,-1.47965474722565
2003-04-01 00:00:00,2003,All food,2.9,1.1,1.8,-8.33333333333333,,1.8,-63.6363636363636,-3.76712328767123,Spring,-1.35635018495684
2003-05-01 00:00:00,2003,All food,2.5,1.2,1.8,9.09090909090908,,1.3,-8.33333333333335,-7.2289156626506,Spring,-1.47965474722565
2003-06-01 00:00:00,2003,All food,2.4,1.5,2,25,,0.9,40,60,Summer,-0.897129186602871
2003-07-01 00:00:00,2003,All food,2.5,1.5,1.9,0,-850,1,33.3333333333333,-1.50602409638554,Summer,-0.897129186602871
2003-07-01 00:00:00,2003,All food,3.9,0.1,1.9,-93.3333333333333,-150,3.8,-3700,-0.100401606425703,Summer,-0.0598086124401914
2003-08-01 00:00:00,2003,All food,2.3,1.7,2,1600,inf,0.6,64.7058823529412,-2.42510699001427,Summer,-1.01674641148325
2003-08-01 00:00:00,2003,All food,3.8,0.4,2.1,-76.4705882352941,100,3.4,-750,-0.570613409415121,Summer,-0.239234449760766
2003-09-01 00:00:00,2003,All food,2.3,1.7,2,325,466.666666666667,0.6,64.7058823529412,-2.74193548387097,Fall,-4.17690417690417
