Date,Year,Category,Lower,Mid,Upper
2002-07-01,2002,Farm-level cattle,-22.5,-4.1,18.8
2002-07-01,2002,Farm-level eggs,-43.5,-4.2,62.4
2002-07-01,2002,Farm-level fruits,-32.3,-3.8,37.7
2002-07-01,2002,Farm-level milk,-25.6,-2.7,28.1
2002-07-01,2002,Farm-level soybeans,-29.1,-2.4,36.6
2002-07-01,2002,Farm-level vegetables,-24.3,-6.4,15.7
2002-07-01,2002,Farm-level wheat,-29.2,-0.7,38.6
2002-07-01,2002,Wholesale beef,-13.9,0.6,17.5
2002-07-01,2002,Wholesale dairy,-17.1,-1.2,17.9
2002-07-01,2002,Wholesale fats and oils,-13.1,2.7,21.6
2002-07-01,2002,Wholesale pork,-18.1,-3.2,14.3
2002-07-01,2002,Wholesale poultry,-7.0,0.3,7.9
2002-07-01,2002,Wholesale wheat flour,-16.1,1.5,23.0
2002-08-01,2002,Farm-level cattle,-22.2,-4.5,16.4
2002-08-01,2002,Farm-level eggs,-39.0,1.3,67.2
2002-08-01,2002,Farm-level fruits,-29.8,-2.1,37.6
2002-08-01,2002,Farm-level milk,-28.6,-7.2,21.2
2002-08-01,2002,Farm-level soybeans,-16.5,14.9,57.8
2002-08-01,2002,Farm-level vegetables,-23.6,-5.6,16.4
2002-08-01,2002,Farm-level wheat,-21.8,7.9,49.1
2002-08-01,2002,Wholesale beef,-16.1,-2.5,13.2
2002-08-01,2002,Wholesale dairy,-17.3,-2.5,14.7
2002-08-01,2002,Wholesale fats and oils,-11.6,4.1,22.5
2002-08-01,2002,Wholesale pork,-14.5,0.6,18.6
2002-08-01,2002,Wholesale poultry,-6.1,1.1,9.0
2002-08-01,2002,Wholesale wheat flour,-14.6,2.0,21.9
2002-09-01,2002,Farm-level cattle,-21.4,-4.9,14.9
2002-09-01,2002,Farm-level eggs,-33.3,6.7,72.9
2002-09-01,2002,Farm-level fruits,-28.5,-1.6,35.6
2002-09-01,2002,Farm-level milk,-23.2,-2.0,26.2
2002-09-01,2002,Farm-level soybeans,-14.9,14.4,54.6
2002-09-01,2002,Farm-level vegetables,-23.4,-6.3,15.0
2002-09-01,2002,Farm-level wheat,-17.0,12.5,54.2
2002-09-01,2002,Wholesale beef,-15.3,-2.5,12.2
2002-09-01,2002,Wholesale dairy,-14.7,-0.7,16.1
2002-09-01,2002,Wholesale fats and oils,-8.1,7.4,25.4
2002-09-01,2002,Wholesale pork,-16.4,-2.2,15.1
2002-09-01,2002,Wholesale poultry,-6.4,0.6,8.0
2002-09-01,2002,Wholesale wheat flour,-15.4,0.2,19.4
2002-10-01,2002,Farm-level cattle,-19.4,-3.7,14.8
2002-10-01,2002,Farm-level eggs,-32.1,4.7,64.3
2002-10-01,2002,Farm-level fruits,-25.9,-0.2,34.5
2002-10-01,2002,Farm-level milk,-21.2,-0.3,26.2
2002-10-01,2002,Farm-level soybeans,-15.9,11.0,48.8
2002-10-01,2002,Farm-level vegetables,-24.1,-8.0,12.6
2002-10-01,2002,Farm-level wheat,-8.6,22.9,67.3
2002-10-01,2002,Wholesale beef,-13.6,-1.4,12.6
2002-10-01,2002,Wholesale dairy,-14.2,-1.0,14.3
